Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
BRK-B,498.2,2026/02/20,16:00 EST,1.26001,496.65,498.32,491.805,4298281,20260102,494.4,5.0,1.0,,,,
PAYC,114.71,2026/02/20,16:00 EST,-6.01,120.55,121.76,114.7,1668421,20240627,141.99,140.85499,,,,,
EFX,197.46,2026/02/20,16:00 EST,2.16,196.56,199.725,195.18,1026506,20251029,219.62,25.0,0.0,,,,
SPGI,417.48,2026/02/20,16:00 EST,0.809998,414.28,418.62,410.73,2264148,20251006,479.48,31.0,0.0,,,,
SPGI,417.48,2026/02/20,16:00 EST,0.809998,414.28,418.62,410.73,2264148,20260202,471.39,21.0,0.0,,,,
VOO,634.02,2026/02/20,16:00 EST,4.48999,627.48,634.57,627.03,7348269,20250908,597.07,4.32275,0.0,,,,
DUOL,112.94,2026/02/20,16:00 EST,1.83,111.0,114.5,109.31,1786441,20250821,341.43,58.57718,0.0,,,,
DUOL,112.94,2026/02/20,16:00 EST,1.83,111.0,114.5,109.31,1786441,20250909,268.34,18.63307,0.0,,,,
MC.PA,554.7,2026/02/20,17:39 CET,23.200012,541.4,559.2,540.1,929807,20260112,646.2,0.572734,0.0,,,,
MC.PA,554.7,2026/02/20,17:39 CET,23.200012,541.4,559.2,540.1,929807,20251210,616.1,0.326304,0.0,,,,
MC.PA,554.7,2026/02/20,17:39 CET,23.200012,541.4,559.2,540.1,929807,20251226,630.7,0.622407,0.0,,,,
MC.PA,554.7,2026/02/20,17:39 CET,23.200012,541.4,559.2,540.1,929807,20260209,534.0,0.37416,0.0,,,,
MC.PA,554.7,2026/02/20,17:39 CET,23.200012,541.4,559.2,540.1,929807,20251110,614.1,0.771923,0.0,,,,
MC.PA,554.7,2026/02/20,17:39 CET,23.200012,541.4,559.2,540.1,929807,20250910,495.95,0.356164,0.0,,,,
MC.PA,554.7,2026/02/20,17:39 CET,23.200012,541.4,559.2,540.1,929807,20251010,565.1,0.353919,0.0,,,,
SRTS,3.95,2026/02/20,16:00 EST,0.04,3.86,3.965,3.84,95586,20250205,6.02,5000.0,,,,,
AAPL,264.58,2026/02/20,16:00 EST,4.0,258.955,264.75,258.16,36884993,,,,,,,,
AMZN,210.11,2026/02/20,16:00 EST,5.25,204.76,211.1673,203.75,63898535,,,,,,,,
JD,27.41,2026/02/20,16:00 EST,0.139999,26.79,27.52,26.715,8629509,,,,,,,,
MSFT,397.23,2026/02/20,16:00 EST,-1.22998,396.15,400.1159,395.16,31825617,20260218,398.11,38.0,0.0,,,,
MSFT,397.23,2026/02/20,16:00 EST,-1.22998,396.15,400.1159,395.16,31825617,20260206,395.59,51.0,0.0,,,,
BABA,154.45,2026/02/20,16:00 EST,0.179993,150.85,155.49,150.43,8701915,,,,,,,,
QCOM,142.88,2026/02/20,16:00 EST,1.61,140.305,144.07,140.1,10043652,,,,,,,,
AZULD,1066.67,2026/01/29,16:00 EST,0.0,32.63,32.63,32.63,1,,,,,,,,
BA,232.03,2026/02/20,16:00 EST,-1.68001,232.63,236.08,231.14,5446395,,,,,,,,
GD,351.42,2026/02/20,16:00 EST,-2.91998,354.21,354.58,348.703,893902,,,,,,,,
B,47.96,2026/02/20,16:00 EST,-0.59,48.55,48.99,46.1,22306861,,,,,,,,
RTX,204.92,2026/02/20,16:00 EST,0.190002,205.49,206.36,203.03,10295059,,,,,,,,
NESN.SW,80.91,2026/02/20,17:31 CET,-0.51999664,80.94,81.11,79.45,5670392,,,,,,,,
BOSS.DE,37.06,2026/02/20,17:35 CET,0.29000092,36.78,37.43,36.58,335706,,,,,,,,
