ticker,ticker_symbol,sell_date,sell_row_id,lot_id,matched_shares,entry_date,entry_price,sell_price,entry_fx,sell_fx,local_realized,fx_realized,total_realized
AAPL,NasdaqGS:AAPL,2025-03-10,106,33,29.0,2024-02-28,172.3337931034,220.4200567644,1.0,1.0,1394.5016461689993,0.0,1394.5016461689993
BOSS,XTRA:BOSS,2025-04-21,119,35,505.96,2024-03-06,54.26,33.4799995089,1.0,1.0,-10513.849048476954,0.0,-10513.849048476954
BOSS,XTRA:BOSS,2025-04-21,119,36,94.66,2024-04-03,49.51,33.4799995089,1.0,1.0,-1517.3998464875258,0.0,-1517.3998464875258
BOSS,XTRA:BOSS,2025-04-21,119,38,98.95,2024-04-16,47.2,33.4799995089,1.0,1.0,-1357.5940485943452,0.0,-1357.5940485943452
BOSS,XTRA:BOSS,2025-04-21,119,40,114.91,2024-06-23,40.22,33.4799995089,1.0,1.0,-774.4934564323007,0.0,-774.4934564323007
VOO,ARCA:VOO,2025-06-04,126,39,13.00603,2024-06-15,502.383,547.9627414117,1.0,1.0,592.8114841928127,0.0,592.8114841928127
VOO,ARCA:VOO,2025-06-04,126,44,7.73,2024-08-04,491.5912031048,547.9627414117,1.0,1.0,435.75199111233695,0.0,435.75199111233695
VOO,ARCA:VOO,2025-06-04,126,45,7.44,2024-08-26,510.752688172,547.9627414117,1.0,1.0,276.84279610336813,0.0,276.84279610336813
VOO,ARCA:VOO,2025-06-04,126,47,5.36,2024-09-24,522.3880597015,547.9627414117,1.0,1.0,137.08029396667214,0.0,137.08029396667214
VOO,ARCA:VOO,2025-06-04,126,51,5.32,2024-10-28,526.3157894737,547.9627414117,1.0,1.0,115.16178431016016,0.0,115.16178431016016
VOO,ARCA:VOO,2025-06-04,126,54,4.17,2024-12-02,555.1534772182,547.9627414117,1.0,1.0,-29.985368313105063,0.0,-29.985368313105063
VOO,ARCA:VOO,2025-06-04,126,56,0.33,2025-02-02,553.6666666667,547.9627414117,1.0,1.0,-1.8822953341500193,0.0,-1.8822953341500193
VOO,ARCA:VOO,2025-06-04,126,58,4.1,2025-02-07,553.3804878049,547.9627414117,1.0,1.0,-22.21276021211996,0.0,-22.21276021211996
VOO,ARCA:VOO,2025-06-04,126,59,0.36,2025-02-11,548.9166666667,547.9627414117,1.0,1.0,-0.343413091800021,0.0,-0.343413091800021
VOO,ARCA:VOO,2025-06-04,126,63,0.29,2025-04-02,507.2068965517,547.9627414117,1.0,1.0,11.81919500939999,0.0,11.81919500939999
VOO,ARCA:VOO,2025-06-04,126,64,5.4,2025-04-02,500.0018518519,547.9627414117,1.0,1.0,258.9888036229198,0.0,258.9888036229198
VOO,ARCA:VOO,2025-06-04,126,67,5.0,2025-04-07,480.902,547.9627414117,1.0,1.0,335.3037070584998,0.0,335.3037070584998
GOLD,NYSE:GOLD,2025-08-21,138,53,1162.12,2024-11-10,17.2099266857,25.5099989674,1.0,1.0,9645.680000009204,0.0,9645.680000009204
EFX,EFX,2026-03-04,197,95,25.0,2025-10-29,219.62,206.25,1.0,1.0,-334.2500000000001,0.0,-334.2500000000001
ASML,ASML,2026-04-13,198,66,34.8432,2025-04-07,574.0,1250.0,1.0,1.0,23554.003200000003,0.0,23554.003200000003
ASML,ASML,2026-04-13,198,68,2.1568,2025-04-16,580.752887,1250.0,1.0,1.0,1443.4321733183979,0.0,1443.4321733183979
MSFT,NasdaqGS:MSFT,OPEN,,113,51.0,2026-02-06,395.59,393.1099853515625,1.0,1.0,,,
MSFT,NasdaqGS:MSFT,OPEN,,115,38.0,2026-02-18,398.11,393.1099853515625,1.0,1.0,,,
MSFT,MSFT,OPEN,,116,13.0,2026-03-04,408.69,393.1099853515625,1.0,1.0,,,
AXP,NYSE:AXP,OPEN,,17,195.72649,2023-09-26,150.86,327.0899963378906,1.0,1.0,,,
AXP,NYSE:AXP,OPEN,,18,33.33,2023-10-02,150.0150015002,327.0899963378906,1.0,1.0,,,
AXP,NYSE:AXP,OPEN,,19,69.42,2023-10-03,144.0507058485,327.0899963378906,1.0,1.0,,,
AXP,NYSE:AXP,OPEN,,20,33.42,2023-10-16,149.6110113704,327.0899963378906,1.0,1.0,,,
GOOGL,NasdaqGS:GOOGL,OPEN,,29,145.6134,2024-02-13,137.35,332.92999267578125,1.0,1.0,,,
GOOGL,NasdaqGS:GOOGL,OPEN,,31,75.34,2024-02-19,132.7316166711,332.92999267578125,1.0,1.0,,,
GOOGL,NasdaqGS:GOOGL,OPEN,,32,147.83,2024-02-22,135.290536427,332.92999267578125,1.0,1.0,,,
GOOGL,NasdaqGS:GOOGL,OPEN,,61,60.38,2025-03-10,165.6177542233,332.92999267578125,1.0,1.0,,,
